State Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),RICE YIELD (Kg per ha)
Andhra Pradesh,225.49041958041957,551.0234265734266,2337.551013986014
Assam,234.55325,317.70375,1362.4190384615383
Bihar,315.42701048951045,405.1730769230769,1276.7262237762238
Chhattisgarh,589.860064102564,667.3340384615385,1073.7629487179488
Gujarat,34.2071047008547,52.044177350427354,1057.3626816239316
Haryana,107.8939010989011,295.78269230769234,2188.0784340659343
Himachal Pradesh,8.220269230769231,10.434634615384615,1104.315673076923
Jharkhand,230.56593333333333,254.78593333333333,1153.887
Karnataka,64.88305668016194,148.70603238866397,2151.53975708502
Kerala,54.33189102564102,96.3230811965812,1925.6442606837606
Madhya Pradesh,42.79762993762994,39.67889812889813,818.9566216216216
Maharashtra,57.23657840236687,86.52656183431954,1085.2720553254437
Orissa,333.26278106508875,417.9481213017752,1228.099201183432
Punjab,167.52096153846153,585.7344405594406,3100.4203496503496
Rajasthan,5.448890532544379,7.003269230769231,688.1531360946746
Tamil Nadu,180.22298076923076,466.66908653846156,2813.8974198717947
Telangana,135.59602564102565,326.7344871794872,2179.698547008547
Uttar Pradesh,112.52887123745819,186.2866304347826,1575.1014799331106
Uttarakhand,27.888749999999998,53.18300480769231,1222.9959855769232
West Bengal,361.2523379120879,703.7074615384615,1866.0657701465202
