State Name,Year,yield,Avg_Annual_Temperature,Avg_Annual_Rainfall,average_price
Assam,2011,1378.9163333333333,24.67,1116.3,128.67280691308093
Assam,2012,1387.907,24.69,1054.7,131.0606643085711
Assam,2013,1352.7533333333333,24.820000000000004,1092.5,136.6361060792586
Assam,2014,1395.046,24.73,1045.2,148.0098748510449
Assam,2015,1296.027,24.91,1189.2,112.2047103314822
Assam,2016,1443.638,25.149999999999995,1198.8,128.20569612772405
Assam,2017,1506.5746666666666,24.790000000000003,1211.0,147.76915776901993
Bihar,1994,1653.9445454545453,24.46,1295.3,6.919554455445544
Bihar,1995,1561.6290909090912,25.29,1242.4,7.03345156555773
Bihar,1996,1795.9086363636363,24.55,1182.9,8.187600353243418
Bihar,1997,1674.168181818182,24.1,1183.1,8.944368268434134
Bihar,1998,1712.1063636363638,24.76,1208.8,9.250178760593219
Bihar,1999,2079.284545454546,24.67,1116.6,9.829413873148084
Bihar,2000,1754.434090909091,24.6,1035.4,203.62665521978022
Bihar,2001,1691.7472727272725,24.73,1105.2,307.19596972271563
Bihar,2002,1602.4218181818183,25.0,981.9,187.87829401840492
Bihar,2003,1589.4013636363636,24.72,1243.6,184.94695330250462
Bihar,2004,1155.6363636363637,24.74,1080.5,176.54035590421142
Bihar,2005,1220.3418181818183,24.58,1208.3,194.15448920484465
Bihar,2006,1737.5422727272726,25.06,1161.6,238.7763065652203
Bihar,2007,1741.4127272727274,24.77,1179.3,259.28268439756005
Bihar,2008,1763.0959090909091,24.61,1118.0,283.79670255183413
Bihar,2009,1571.510909090909,25.11,953.7,302.0420379647749
Bihar,2010,1924.3530303030304,25.13,1215.5,253.33105543535876
Bihar,2011,2838.891212121212,24.67,1116.3,128.67280691308093
Bihar,2012,2650.6963636363635,24.69,1054.7,131.0606643085711
Bihar,2013,2573.5554545454547,24.820000000000004,1092.5,136.6361060792586
Bihar,2014,1921.2175757575758,24.73,1045.2,148.0098748510449
Bihar,2015,2238.991515151515,24.91,1189.2,112.2047103314822
Bihar,2016,2691.3118181818186,25.149999999999995,1198.8,128.20569612772405
Bihar,2017,2726.1551515151514,24.790000000000003,1211.0,147.76915776901993
Chhattisgarh,1994,1263.2175000000002,24.46,1295.3,6.919554455445544
Chhattisgarh,1995,1204.27,25.29,1242.4,7.03345156555773
Chhattisgarh,1996,1272.0833333333333,24.55,1182.9,8.187600353243418
Chhattisgarh,1997,919.4691666666666,24.1,1183.1,8.944368268434134
Chhattisgarh,1998,986.9291666666667,24.76,1208.8,9.250178760593219
Chhattisgarh,1999,628.6791666666666,24.67,1116.6,9.829413873148084
Chhattisgarh,2000,876.1733333333332,24.6,1035.4,203.62665521978022
Chhattisgarh,2001,1271.7816666666668,24.73,1105.2,307.19596972271563
Chhattisgarh,2002,977.2674999999999,25.0,981.9,187.87829401840492
Chhattisgarh,2003,1309.1033333333335,24.72,1243.6,184.94695330250462
Chhattisgarh,2004,1093.1716666666666,24.74,1080.5,176.54035590421142
Chhattisgarh,2005,1093.1716666666666,24.58,1208.3,194.15448920484465
Chhattisgarh,2006,1205.9616666666666,25.06,1161.6,238.7763065652203
Chhattisgarh,2007,1356.1758333333332,24.77,1179.3,259.28268439756005
Chhattisgarh,2008,1180.125,24.61,1118.0,283.79670255183413
Chhattisgarh,2009,1186.33,25.11,953.7,302.0420379647749
Chhattisgarh,2010,1457.2072222222223,25.13,1215.5,253.33105543535876
Chhattisgarh,2011,1527.7077777777777,24.67,1116.3,128.67280691308093
Chhattisgarh,2012,1723.5177777777778,24.69,1054.7,131.0606643085711
Chhattisgarh,2013,1607.5844444444444,24.820000000000004,1092.5,136.6361060792586
Chhattisgarh,2014,1846.0416666666667,24.73,1045.2,148.0098748510449
Chhattisgarh,2015,1488.6155555555554,24.91,1189.2,112.2047103314822
Chhattisgarh,2016,1869.4349999999997,25.149999999999995,1198.8,128.20569612772405
Chhattisgarh,2017,1510.376111111111,24.790000000000003,1211.0,147.76915776901993
Gujarat,1994,1742.496666666667,24.46,1295.3,6.919554455445544
Gujarat,1995,1705.4005555555557,25.29,1242.4,7.03345156555773
Gujarat,1996,1753.7533333333333,24.55,1182.9,8.187600353243418
Gujarat,1997,1758.3513888888888,24.1,1183.1,8.944368268434134
Gujarat,1998,1875.5391666666667,24.76,1208.8,9.250178760593219
Gujarat,1999,1674.5891666666666,24.67,1116.6,9.829413873148084
Gujarat,2000,1423.8322222222223,24.6,1035.4,203.62665521978022
Gujarat,2001,1688.051388888889,24.73,1105.2,307.19596972271563
Gujarat,2002,1488.322222222222,25.0,981.9,187.87829401840492
Gujarat,2003,1712.746666666667,24.72,1243.6,184.94695330250462
Gujarat,2004,1681.3502777777776,24.74,1080.5,176.54035590421142
Gujarat,2005,1880.6875000000005,24.58,1208.3,194.15448920484465
Gujarat,2006,1795.8655555555556,25.06,1161.6,238.7763065652203
Gujarat,2007,2046.6683333333335,24.77,1179.3,259.28268439756005
Gujarat,2008,1679.7169444444444,24.61,1118.0,283.79670255183413
Gujarat,2009,1845.098611111111,25.11,953.7,302.0420379647749
Gujarat,2010,2391.985,25.13,1215.5,253.33105543535876
Gujarat,2011,2469.9105555555557,24.67,1116.3,128.67280691308093
Gujarat,2012,2352.2174074074073,24.69,1054.7,131.0606643085711
Gujarat,2013,2499.3607407407403,24.820000000000004,1092.5,136.6361060792586
Gujarat,2014,2213.9948148148146,24.73,1045.2,148.0098748510449
Gujarat,2015,2237.9183333333335,24.91,1189.2,112.2047103314822
Gujarat,2016,2259.968888888889,25.149999999999995,1198.8,128.20569612772405
Gujarat,2017,2352.5598148148147,24.790000000000003,1211.0,147.76915776901993
Haryana,1994,3022.1007142857143,24.46,1295.3,6.919554455445544
Haryana,1995,2787.397142857143,25.29,1242.4,7.03345156555773
Haryana,1996,3171.95,24.55,1182.9,8.187600353243418
Haryana,1997,3136.517857142857,24.1,1183.1,8.944368268434134
Haryana,1998,3046.62,24.76,1208.8,9.250178760593219
Haryana,1999,3162.119285714285,24.67,1116.6,9.829413873148084
Haryana,2000,3268.4928571428572,24.6,1035.4,203.62665521978022
Haryana,2001,3332.8107142857143,24.73,1105.2,307.19596972271563
Haryana,2002,3289.134285714286,25.0,981.9,187.87829401840492
Haryana,2003,3265.212857142857,24.72,1243.6,184.94695330250462
Haryana,2004,3202.2614285714285,24.74,1080.5,176.54035590421142
Haryana,2005,3327.1892857142857,24.58,1208.3,194.15448920484465
Haryana,2006,3526.046428571429,25.06,1161.6,238.7763065652203
Haryana,2007,3622.427142857143,24.77,1179.3,259.28268439756005
Haryana,2008,3549.8828571428576,24.61,1118.0,283.79670255183413
Haryana,2009,3508.0721428571433,25.11,953.7,302.0420379647749
Haryana,2010,3914.3323809523813,25.13,1215.5,253.33105543535876
Haryana,2011,4365.985714285714,24.67,1116.3,128.67280691308093
Haryana,2012,3969.091904761905,24.69,1054.7,131.0606643085711
Haryana,2013,4101.840952380952,24.820000000000004,1092.5,136.6361060792586
Haryana,2014,3497.725714285714,24.73,1045.2,148.0098748510449
Haryana,2015,3822.9242857142854,24.91,1189.2,112.2047103314822
Haryana,2016,4155.637142857143,25.149999999999995,1198.8,128.20569612772405
Haryana,2017,4218.109523809523,24.790000000000003,1211.0,147.76915776901993
Himachal Pradesh,1994,1316.9389999999999,24.46,1295.3,6.919554455445544
Himachal Pradesh,1995,1355.0500000000002,25.29,1242.4,7.03345156555773
Himachal Pradesh,1996,1350.857,24.55,1182.9,8.187600353243418
Himachal Pradesh,1997,1540.8580000000002,24.1,1183.1,8.944368268434134
Himachal Pradesh,1998,1297.0915,24.76,1208.8,9.250178760593219
Himachal Pradesh,1999,1461.232,24.67,1116.6,9.829413873148084
Himachal Pradesh,2000,1204.612,24.6,1035.4,203.62665521978022
